feature,RandomForest,GradientBoosting,XGBoost,mean_importance
MetaLR_score,0.01715,0.00684,0.02325,0.01574
MetaSVM_score,0.01761,0.01033,0.02236,0.01677
ClinPred_score,0.01853,0.00992,0.02624,0.01823
REVEL_score,0.03373,0.0089,0.01853,0.02038
ESM1b_score,0.04081,0.01532,0.02841,0.02818
BayesDel_noAF_score,0.03629,0.02432,0.0362,0.03227
Eigen_raw_coding,0.06705,0.00843,0.02508,0.03352
MetaRNN_score,0.06467,0.02335,0.03301,0.04035
CADD_phred,0.09519,0.03024,0.02674,0.05072
PrimateAI_score,0.0913,0.05686,0.0394,0.06252
CADD_raw,0.1337,0.18076,0.14033,0.1516
VEST4_score,0.18785,0.22026,0.29018,0.23276
AlphaMissense_score,0.19614,0.40446,0.29029,0.29696
