eval_set,score,n,auc
internal-test,ClinPred_score,1722,0.9458
internal-test,MetaRNN_score,1722,0.9552
internal-test,REVEL_score,1722,0.9094
internal-test,MetaSVM_score,1722,0.9144
internal-test,MetaLR_score,1722,0.8942
internal-test,VEST4_score,1722,0.9549
internal-test,AlphaMissense_score,1722,0.9678
internal-test,PrimateAI_score,1722,0.9484
internal-test,CADD_raw,1722,0.965
internal-test,CADD_phred,1722,0.9651
internal-test,ESM1b_score,1722,0.948
internal-test,BayesDel_noAF_score,1722,0.9415
internal-test,Eigen_raw_coding,1722,0.9421
external,ClinPred_score,344,0.9901
external,MetaRNN_score,344,0.9852
external,REVEL_score,344,0.9604
external,MetaSVM_score,344,0.9416
external,MetaLR_score,344,0.9154
external,VEST4_score,344,0.9868
external,AlphaMissense_score,344,0.9722
external,PrimateAI_score,344,0.9559
external,CADD_raw,344,0.9494
external,CADD_phred,344,0.9493
external,ESM1b_score,344,0.9703
external,BayesDel_noAF_score,344,0.9636
external,Eigen_raw_coding,344,0.9471
