model,arm,eval_set,synthetic_added,train_after_resample,roc_auc,roc_auc_CI,auprc,auprc_CI,f1@0.5,f1_CI,precision@0.5,recall@0.5,brier
RandomForest,baseline (class-weight),internal-test,0,6887,0.9758,"[0.957, 0.991]",0.7972,"[0.700, 0.883]",0.726,"[0.648, 0.800]",0.6386,0.8413,0.0178
RandomForest,baseline (class-weight),external,0,6887,0.9994,"[0.998, 1.000]",0.9978,"[0.994, 1.000]",0.9733,"[0.944, 0.994]",0.9605,0.9865,0.0128
RandomForest,SMOTE 6:1,internal-test,855,7742,0.9839,"[0.972, 0.993]",0.8328,"[0.751, 0.906]",0.7692,"[0.679, 0.842]",0.7463,0.7937,0.0144
RandomForest,SMOTE 6:1,external,855,7742,0.9997,"[0.999, 1.000]",0.999,"[0.996, 1.000]",0.9733,"[0.944, 0.994]",0.9605,0.9865,0.0149
RandomForest,SMOTE 3:1,internal-test,1961,8848,0.9817,"[0.967, 0.993]",0.8256,"[0.739, 0.902]",0.7571,"[0.672, 0.827]",0.6883,0.8413,0.0164
RandomForest,SMOTE 3:1,external,1961,8848,0.9999,"[1.000, 1.000]",0.9998,"[0.999, 1.000]",0.9867,"[0.964, 1.000]",0.9737,1.0,0.0138
RandomForest,SMOTE 1:1,internal-test,6385,13272,0.9758,"[0.958, 0.990]",0.7941,"[0.700, 0.877]",0.675,"[0.587, 0.750]",0.5567,0.8571,0.0241
RandomForest,SMOTE 1:1,external,6385,13272,0.9997,"[0.999, 1.000]",0.9989,"[0.996, 1.000]",0.9737,"[0.945, 0.994]",0.9487,1.0,0.0177
SVM,baseline (class-weight),internal-test,0,6887,0.9865,"[0.978, 0.993]",0.8234,"[0.741, 0.897]",0.7586,"[0.667, 0.840]",0.8302,0.6984,0.0133
SVM,baseline (class-weight),external,0,6887,0.9981,"[0.994, 1.000]",0.995,"[0.985, 1.000]",0.9577,"[0.918, 0.988]",1.0,0.9189,0.0153
SVM,SMOTE 6:1,internal-test,855,7742,0.9786,"[0.962, 0.991]",0.812,"[0.726, 0.890]",0.7313,"[0.640, 0.813]",0.6901,0.7778,0.0173
SVM,SMOTE 6:1,external,855,7742,0.9925,"[0.977, 1.000]",0.9877,"[0.967, 0.999]",0.9396,"[0.899, 0.975]",0.9333,0.9459,0.0162
SVM,SMOTE 3:1,internal-test,1961,8848,0.9843,"[0.973, 0.993]",0.8215,"[0.735, 0.896]",0.6624,"[0.573, 0.747]",0.5532,0.8254,0.0236
SVM,SMOTE 3:1,external,1961,8848,0.9956,"[0.988, 1.000]",0.99,"[0.974, 0.999]",0.9481,"[0.911, 0.980]",0.9125,0.9865,0.0231
SVM,SMOTE 1:1,internal-test,6385,13272,0.9855,"[0.977, 0.993]",0.809,"[0.719, 0.888]",0.5364,"[0.455, 0.613]",0.3758,0.9365,0.045
SVM,SMOTE 1:1,external,6385,13272,0.9969,"[0.991, 1.000]",0.9919,"[0.979, 1.000]",0.8639,"[0.805, 0.915]",0.7684,0.9865,0.0539
GradientBoosting,baseline (class-weight),internal-test,0,6887,0.9695,"[0.941, 0.990]",0.8324,"[0.753, 0.900]",0.6235,"[0.536, 0.702]",0.4953,0.8413,0.0288
GradientBoosting,baseline (class-weight),external,0,6887,0.9986,"[0.996, 1.000]",0.9952,"[0.987, 1.000]",0.9136,"[0.859, 0.955]",0.8409,1.0,0.0317
GradientBoosting,SMOTE 6:1,internal-test,855,7742,0.9763,"[0.960, 0.989]",0.7164,"[0.597, 0.848]",0.6963,"[0.609, 0.776]",0.6528,0.746,0.0185
GradientBoosting,SMOTE 6:1,external,855,7742,0.9978,"[0.995, 1.000]",0.9925,"[0.983, 0.998]",0.9412,"[0.897, 0.976]",0.9114,0.973,0.0182
GradientBoosting,SMOTE 3:1,internal-test,1961,8848,0.9784,"[0.963, 0.991]",0.814,"[0.730, 0.886]",0.6853,"[0.597, 0.765]",0.6125,0.7778,0.0193
GradientBoosting,SMOTE 3:1,external,1961,8848,0.9979,"[0.995, 1.000]",0.9927,"[0.983, 0.999]",0.9419,"[0.899, 0.974]",0.9012,0.9865,0.0216
GradientBoosting,SMOTE 1:1,internal-test,6385,13272,0.9729,"[0.950, 0.991]",0.8219,"[0.741, 0.888]",0.6129,"[0.529, 0.696]",0.4634,0.9048,0.0341
GradientBoosting,SMOTE 1:1,external,6385,13272,0.9984,"[0.996, 1.000]",0.9943,"[0.986, 0.999]",0.897,"[0.844, 0.942]",0.8132,1.0,0.0388
XGBoost,baseline (class-weight),internal-test,0,6887,0.9754,"[0.960, 0.988]",0.8049,"[0.713, 0.883]",0.7656,"[0.678, 0.838]",0.7538,0.7778,0.0153
XGBoost,baseline (class-weight),external,0,6887,0.9982,"[0.996, 1.000]",0.9936,"[0.985, 0.999]",0.9371,"[0.893, 0.974]",0.971,0.9054,0.0155
XGBoost,SMOTE 6:1,internal-test,855,7742,0.974,"[0.956, 0.989]",0.8233,"[0.740, 0.898]",0.7597,"[0.673, 0.836]",0.7424,0.7778,0.0142
XGBoost,SMOTE 6:1,external,855,7742,0.9979,"[0.995, 1.000]",0.9935,"[0.985, 1.000]",0.966,"[0.933, 0.993]",0.9726,0.9595,0.0134
XGBoost,SMOTE 3:1,internal-test,1961,8848,0.9713,"[0.951, 0.988]",0.7999,"[0.714, 0.880]",0.7519,"[0.660, 0.824]",0.7143,0.7937,0.0164
XGBoost,SMOTE 3:1,external,1961,8848,0.9977,"[0.995, 1.000]",0.9921,"[0.982, 0.999]",0.9351,"[0.889, 0.972]",0.9,0.973,0.0177
XGBoost,SMOTE 1:1,internal-test,6385,13272,0.9674,"[0.945, 0.987]",0.7915,"[0.705, 0.873]",0.7042,"[0.620, 0.783]",0.6329,0.7937,0.0208
XGBoost,SMOTE 1:1,external,6385,13272,0.9977,"[0.994, 1.000]",0.9929,"[0.983, 0.999]",0.9481,"[0.908, 0.981]",0.9125,0.9865,0.0168
