pool,gene,model,n,n_pathogenic,tpr_at_fpr5,fpr_at_tpr95
internal_test,both,RandomForest,1722,63,0.9048,0.1374
internal_test,both,SVM,1722,63,0.9206,0.0711
internal_test,both,GradientBoosting,1722,63,0.873,0.1429
internal_test,both,XGBoost,1722,63,0.8413,0.1356
internal_test,both,ML_VotingEnsemble,1722,63,0.9048,0.1278
internal_test,both,StackingEnsemble,1722,63,0.9048,0.1109
internal_test,both,Hybrid-B,1722,63,0.9206,0.1495
internal_test,BRCA1,RandomForest,565,33,0.8788,0.1617
internal_test,BRCA1,SVM,565,33,0.9091,0.0827
internal_test,BRCA1,GradientBoosting,565,33,0.9091,0.1692
internal_test,BRCA1,XGBoost,565,33,0.9091,0.1128
internal_test,BRCA1,ML_VotingEnsemble,565,33,0.9091,0.1466
internal_test,BRCA1,StackingEnsemble,565,33,0.8788,0.1222
internal_test,BRCA1,Hybrid-B,565,33,0.9394,0.1767
internal_test,BRCA2,RandomForest,1157,30,0.9,0.1996
internal_test,BRCA2,SVM,1157,30,0.9,0.0905
internal_test,BRCA2,GradientBoosting,1157,30,0.9,0.2937
internal_test,BRCA2,XGBoost,1157,30,0.7667,0.2183
internal_test,BRCA2,ML_VotingEnsemble,1157,30,0.9,0.1748
internal_test,BRCA2,StackingEnsemble,1157,30,0.9,0.1961
internal_test,BRCA2,Hybrid-B,1157,30,0.9333,0.3177
external,both,RandomForest,344,74,1.0,0.0074
external,both,SVM,344,74,0.9865,0.0
external,both,GradientBoosting,344,74,1.0,0.0037
external,both,XGBoost,344,74,1.0,0.0185
external,both,ML_VotingEnsemble,344,74,1.0,0.0074
external,both,StackingEnsemble,344,74,1.0,0.0037
external,both,Hybrid-B,344,74,1.0,0.0148
external,BRCA1,RandomForest,189,53,1.0,0.0074
external,BRCA1,SVM,189,53,0.9811,0.0
external,BRCA1,GradientBoosting,189,53,1.0,0.0
external,BRCA1,XGBoost,189,53,1.0,0.0147
external,BRCA1,ML_VotingEnsemble,189,53,1.0,0.0074
external,BRCA1,StackingEnsemble,189,53,1.0,0.0
external,BRCA1,Hybrid-B,189,53,1.0,0.0074
external,BRCA2,RandomForest,155,21,1.0,0.0075
external,BRCA2,SVM,155,21,1.0,0.0
external,BRCA2,GradientBoosting,155,21,1.0,0.0075
external,BRCA2,XGBoost,155,21,1.0,0.0224
external,BRCA2,ML_VotingEnsemble,155,21,1.0,0.0075
external,BRCA2,StackingEnsemble,155,21,1.0,0.0
external,BRCA2,Hybrid-B,155,21,1.0,0.0224
internal_all_gene_balanced,both,RandomForest,572,286,0.986,0.0035
internal_all_gene_balanced,both,SVM,572,286,0.9021,0.0909
internal_all_gene_balanced,both,GradientBoosting,572,286,0.986,0.014
internal_all_gene_balanced,both,XGBoost,572,286,0.979,0.0
internal_all_gene_balanced,both,ML_VotingEnsemble,572,286,0.986,0.0
internal_all_gene_balanced,both,StackingEnsemble,572,286,0.986,0.0
internal_all_gene_balanced,both,Hybrid-B,572,286,0.9895,0.0105
external_gene_balanced,both,RandomForest,84,42,1.0,0.0
external_gene_balanced,both,SVM,84,42,0.9762,0.0
external_gene_balanced,both,GradientBoosting,84,42,1.0,0.0
external_gene_balanced,both,XGBoost,84,42,1.0,0.0238
external_gene_balanced,both,ML_VotingEnsemble,84,42,1.0,0.0
external_gene_balanced,both,StackingEnsemble,84,42,1.0,0.0
external_gene_balanced,both,Hybrid-B,84,42,1.0,0.0238
