pool,feature,n,pct_missing
internal,ClinPred_score,19180,54.8
internal,MetaRNN_score,19180,54.9
internal,REVEL_score,19180,54.9
internal,MetaSVM_score,19180,54.9
internal,MetaLR_score,19180,54.9
internal,VEST4_score,19180,52.4
internal,AlphaMissense_score,19180,55.0
internal,PrimateAI_score,19180,55.1
internal,CADD_raw,19180,50.5
internal,CADD_phred,19180,50.5
internal,ESM1b_score,19180,34.3
internal,BayesDel_noAF_score,19180,50.6
internal,Eigen_raw_coding,19180,50.6
external,ClinPred_score,7426,94.1
external,MetaRNN_score,7426,95.2
external,REVEL_score,7426,95.2
external,MetaSVM_score,7426,95.2
external,MetaLR_score,7426,95.2
external,VEST4_score,7426,81.7
external,AlphaMissense_score,7426,95.3
external,PrimateAI_score,7426,95.4
external,CADD_raw,7426,80.8
external,CADD_phred,7426,80.8
external,ESM1b_score,7426,78.6
external,BayesDel_noAF_score,7426,80.9
external,Eigen_raw_coding,7426,80.9
