split,evidence,score_threshold
pooled_genome_wide,PP3_Supporting,0.3048
pooled_genome_wide,PP3_Moderate,0.6056
pooled_genome_wide,PP3_Strong,0.9728
pooled_genome_wide,PP3_Very_Strong,
pooled_genome_wide,BP4_Supporting,0.1953
pooled_genome_wide,BP4_Moderate,0.1736
pooled_genome_wide,BP4_Strong,0.1333
pooled_genome_wide,BP4_Very_Strong,
gene_specific_BRCA1,PP3_Supporting,0.4239
gene_specific_BRCA1,PP3_Moderate,0.7732
gene_specific_BRCA1,PP3_Strong,0.9668
gene_specific_BRCA1,PP3_Very_Strong,
gene_specific_BRCA1,BP4_Supporting,0.2065
gene_specific_BRCA1,BP4_Moderate,0.1821
gene_specific_BRCA1,BP4_Strong,0.1391
gene_specific_BRCA1,BP4_Very_Strong,
gene_specific_BRCA2,PP3_Supporting,0.2709
gene_specific_BRCA2,PP3_Moderate,0.3744
gene_specific_BRCA2,PP3_Strong,0.9723
gene_specific_BRCA2,PP3_Very_Strong,
gene_specific_BRCA2,BP4_Supporting,0.1875
gene_specific_BRCA2,BP4_Moderate,0.1678
gene_specific_BRCA2,BP4_Strong,0.1277
gene_specific_BRCA2,BP4_Very_Strong,
