eval_set,model,roc_auc,roc_auc_CI,auprc,auprc_CI,f1@0.5,f1_CI
internal-test,RandomForest,0.9769,"[0.960, 0.991]",0.7893,"[0.688, 0.880]",0.7211,"[0.638, 0.795]"
internal-test,SVM,0.9865,"[0.978, 0.993]",0.8234,"[0.741, 0.897]",0.7586,"[0.667, 0.840]"
internal-test,GradientBoosting,0.9695,"[0.941, 0.990]",0.8324,"[0.753, 0.900]",0.6235,"[0.536, 0.702]"
internal-test,XGBoost,0.9754,"[0.960, 0.988]",0.8049,"[0.713, 0.883]",0.7656,"[0.678, 0.838]"
internal-test,ML_VotingEnsemble,0.9794,"[0.964, 0.992]",0.827,"[0.739, 0.903]",0.8167,"[0.738, 0.883]"
internal-test,StackingEnsemble,0.979,"[0.963, 0.992]",0.8251,"[0.739, 0.899]",0.6506,"[0.566, 0.729]"
internal-test,Hybrid-B,0.9745,"[0.951, 0.992]",0.8351,"[0.750, 0.908]",0.671,"[0.581, 0.749]"
external,RandomForest,0.9995,"[0.999, 1.000]",0.9982,"[0.995, 1.000]",0.9799,"[0.953, 1.000]"
external,SVM,0.9981,"[0.994, 1.000]",0.995,"[0.985, 1.000]",0.9577,"[0.918, 0.988]"
external,GradientBoosting,0.9986,"[0.996, 1.000]",0.9952,"[0.987, 1.000]",0.9136,"[0.859, 0.955]"
external,XGBoost,0.9982,"[0.996, 1.000]",0.9936,"[0.985, 0.999]",0.9371,"[0.893, 0.974]"
external,ML_VotingEnsemble,0.9993,"[0.998, 1.000]",0.9975,"[0.992, 1.000]",0.9583,"[0.920, 0.987]"
external,StackingEnsemble,0.9996,"[0.999, 1.000]",0.9986,"[0.996, 1.000]",0.9367,"[0.894, 0.972]"
external,Hybrid-B,0.9986,"[0.997, 1.000]",0.995,"[0.988, 0.999]",0.9308,"[0.889, 0.968]"
