eval_set,model_a,model_b,auc_a,auc_b,auc_diff,diff_95CI,p_value,significant_at_0.05
internal-test,RandomForest,SVM,0.9769,0.9865,-0.0096,"[-0.022, -0.001]",0.016,True
internal-test,RandomForest,GradientBoosting,0.9769,0.9695,0.0074,"[-0.004, 0.023]",0.25,False
internal-test,RandomForest,XGBoost,0.9769,0.9754,0.0015,"[-0.008, 0.011]",0.772,False
internal-test,RandomForest,ML_VotingEnsemble,0.9769,0.9794,-0.0026,"[-0.005, -0.000]",0.026,True
internal-test,RandomForest,StackingEnsemble,0.9769,0.979,-0.0021,"[-0.004, -0.001]",0.0,True
internal-test,RandomForest,Hybrid-B,0.9769,0.9745,0.0024,"[-0.005, 0.011]",0.582,False
internal-test,SVM,GradientBoosting,0.9865,0.9695,0.017,"[0.000, 0.044]",0.048,True
internal-test,SVM,XGBoost,0.9865,0.9754,0.0111,"[0.002, 0.022]",0.01,True
internal-test,SVM,ML_VotingEnsemble,0.9865,0.9794,0.0071,"[-0.000, 0.018]",0.068,False
internal-test,SVM,StackingEnsemble,0.9865,0.979,0.0075,"[0.000, 0.019]",0.04,True
internal-test,SVM,Hybrid-B,0.9865,0.9745,0.012,"[-0.000, 0.029]",0.058,False
internal-test,GradientBoosting,XGBoost,0.9695,0.9754,-0.0059,"[-0.027, 0.006]",0.612,False
internal-test,GradientBoosting,ML_VotingEnsemble,0.9695,0.9794,-0.0099,"[-0.027, 0.001]",0.126,False
internal-test,GradientBoosting,StackingEnsemble,0.9695,0.979,-0.0095,"[-0.026, 0.002]",0.15,False
internal-test,GradientBoosting,Hybrid-B,0.9695,0.9745,-0.005,"[-0.022, 0.011]",0.536,False
internal-test,XGBoost,ML_VotingEnsemble,0.9754,0.9794,-0.004,"[-0.013, 0.004]",0.36,False
internal-test,XGBoost,StackingEnsemble,0.9754,0.979,-0.0036,"[-0.013, 0.005]",0.432,False
internal-test,XGBoost,Hybrid-B,0.9754,0.9745,0.0009,"[-0.013, 0.017]",0.914,False
internal-test,ML_VotingEnsemble,StackingEnsemble,0.9794,0.979,0.0004,"[-0.001, 0.002]",0.538,False
internal-test,ML_VotingEnsemble,Hybrid-B,0.9794,0.9745,0.0049,"[-0.003, 0.015]",0.326,False
internal-test,StackingEnsemble,Hybrid-B,0.979,0.9745,0.0045,"[-0.003, 0.013]",0.32,False
external,RandomForest,SVM,0.9995,0.9981,0.0014,"[-0.001, 0.005]",0.586,False
external,RandomForest,GradientBoosting,0.9995,0.9986,0.0009,"[-0.000, 0.003]",0.198,False
external,RandomForest,XGBoost,0.9995,0.9982,0.0013,"[-0.000, 0.004]",0.088,False
external,RandomForest,ML_VotingEnsemble,0.9995,0.9993,0.0002,"[-0.001, 0.002]",0.798,False
external,RandomForest,StackingEnsemble,0.9995,0.9996,-0.0001,"[-0.001, 0.000]",0.716,False
external,RandomForest,Hybrid-B,0.9995,0.9986,0.0009,"[-0.000, 0.003]",0.202,False
external,SVM,GradientBoosting,0.9981,0.9986,-0.0006,"[-0.005, 0.002]",0.844,False
external,SVM,XGBoost,0.9981,0.9982,-0.0001,"[-0.005, 0.003]",0.976,False
external,SVM,ML_VotingEnsemble,0.9981,0.9993,-0.0012,"[-0.005, 0.001]",0.6,False
external,SVM,StackingEnsemble,0.9981,0.9996,-0.0015,"[-0.005, 0.000]",0.48,False
external,SVM,Hybrid-B,0.9981,0.9986,-0.0005,"[-0.004, 0.002]",0.86,False
external,GradientBoosting,XGBoost,0.9986,0.9982,0.0005,"[-0.001, 0.002]",0.604,False
external,GradientBoosting,ML_VotingEnsemble,0.9986,0.9993,-0.0007,"[-0.003, 0.001]",0.41,False
external,GradientBoosting,StackingEnsemble,0.9986,0.9996,-0.001,"[-0.003, 0.000]",0.126,False
external,GradientBoosting,Hybrid-B,0.9986,0.9986,0.0001,"[-0.002, 0.002]",0.92,False
external,XGBoost,ML_VotingEnsemble,0.9982,0.9993,-0.0011,"[-0.003, 0.000]",0.062,False
external,XGBoost,StackingEnsemble,0.9982,0.9996,-0.0014,"[-0.004, 0.000]",0.054,False
external,XGBoost,Hybrid-B,0.9982,0.9986,-0.0004,"[-0.002, 0.001]",0.488,False
external,ML_VotingEnsemble,StackingEnsemble,0.9993,0.9996,-0.0003,"[-0.001, 0.001]",0.598,False
external,ML_VotingEnsemble,Hybrid-B,0.9993,0.9986,0.0007,"[-0.000, 0.002]",0.264,False
external,StackingEnsemble,Hybrid-B,0.9996,0.9986,0.001,"[-0.000, 0.003]",0.13,False
